TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-25 19:28:49,1787686129362,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/healthz,GET,,500,jpg75-1787686129053-6384e4097c66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts' imported from /var/task/artifacts/api-server/src/routes/health.js
    at finalizeResolution (node:internal/modules/esm/resolve:277:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:998:14)
    at defaultResolve (node:internal/modules/esm/resolve:1041:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:701:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:721:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:759:56)
    at #resolve (node:internal/modules/esm/loader:683:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:603:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:163:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,,,,,
2026-08-25 19:28:49,1787686129053,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/healthz,GET,,500,jpg75-1787686129053-6384e4097c66,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,183,iad1,-1,2048,,prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,01M0X6B3G9C93CP5T4NBV1B2KG,,-1,,
2026-08-25 19:28:19,1787686099248,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/health,GET,,500,76mv8-1787686098947-f7248d64aa4b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts' imported from /var/task/artifacts/api-server/src/routes/health.js
    at finalizeResolution (node:internal/modules/esm/resolve:277:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:998:14)
    at defaultResolve (node:internal/modules/esm/resolve:1041:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:701:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:721:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:759:56)
    at #resolve (node:internal/modules/esm/loader:683:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:603:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:163:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,,,,,
2026-08-25 19:28:18,1787686098947,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/health,GET,,500,76mv8-1787686098947-f7248d64aa4b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,184,iad1,-1,2048,,prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,01M0X6A63B6GKGBF7XY7DE9ZNM,,-1,,
2026-08-25 19:28:10,1787686090060,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/special,GET,limit=20,500,bw75r-1787686089747-03bffe1d58c1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts' imported from /var/task/artifacts/api-server/src/routes/health.js
    at finalizeResolution (node:internal/modules/esm/resolve:277:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:998:14)
    at defaultResolve (node:internal/modules/esm/resolve:1041:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:701:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:721:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:759:56)
    at #resolve (node:internal/modules/esm/loader:683:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:603:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:163:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,,,,,
2026-08-25 19:28:09,1787686089747,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/special,GET,limit=20,500,bw75r-1787686089747-03bffe1d58c1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,178,iad1,-1,2048,,prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,01M0X69X4APCY71X5M5EEXQM2Y,,-1,,
2026-08-25 19:28:10,1787686090052,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/new-arrivals,GET,limit=20,500,z4qr6-1787686089746-2e636a34a506,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts' imported from /var/task/artifacts/api-server/src/routes/health.js
    at finalizeResolution (node:internal/modules/esm/resolve:277:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:998:14)
    at defaultResolve (node:internal/modules/esm/resolve:1041:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:701:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:721:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:759:56)
    at #resolve (node:internal/modules/esm/loader:683:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:603:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:163:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,,,,,
2026-08-25 19:28:09,1787686089746,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/new-arrivals,GET,limit=20,500,z4qr6-1787686089746-2e636a34a506,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,172,iad1,-1,2048,,prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,01M0X69X467VT5VVV5974EXMWF,,-1,,
2026-08-25 19:28:10,1787686090078,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/featured,GET,limit=8,500,w876n-1787686089745-93d24597e54a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,,,,,"Error [ERR_MODULE_NOT_FOUND]: Cannot find module '/var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts' imported from /var/task/artifacts/api-server/src/routes/health.js
    at finalizeResolution (node:internal/modules/esm/resolve:277:11)
    at moduleResolve (node:internal/modules/esm/resolve:871:10)
    at moduleResolveWithNodePath (node:internal/modules/esm/resolve:998:14)
    at defaultResolve (node:internal/modules/esm/resolve:1041:79)
    at #cachedDefaultResolve (node:internal/modules/esm/loader:701:20)
    at #resolveAndMaybeBlockOnLoaderThread (node:internal/modules/esm/loader:721:38)
    at ModuleLoader.resolveSync (node:internal/modules/esm/loader:759:56)
    at #resolve (node:internal/modules/esm/loader:683:17)
    at ModuleLoader.getOrCreateModuleJob (node:internal/modules/esm/loader:603:35)
    at ModuleJob.syncLink (node:internal/modules/esm/module_job:163:33) {
  code: 'ERR_MODULE_NOT_FOUND',
  url: 'file:///var/task/artifacts/api-server/node_modules/@workspace/api-zod/src/index.ts'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,,,,,
2026-08-25 19:28:09,1787686089745,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app/api/medicines/featured,GET,limit=8,500,w876n-1787686089745-93d24597e54a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,preview,cleanup-ayush-medico,MISS,function,/api/[...path],ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,ayush-medicozip-api-server-baby-blbhhm24p.vercel.app,dpl_3xwE4YpjShBgYBSddsezJGATVSPi,201,iad1,-1,2048,,prj_7JAswhDubg0NnqBvDW0zPD6g4FbY,,,01M0X69X42JR5ZZ2GA3QGPTKQ3,,-1,,
